rules,,support,confidence,coverage,lift,count
29,"{CookBks,RefBks,ArtBks,ItalCook} => {ChildBks}",0.022,0.936170213,0.0235,2.213168352,44
30,"{ChildBks,CookBks,RefBks,ItalCook} => {ArtBks}",0.022,0.530120482,0.0415,2.199670049,44
31,"{ChildBks,DoItYBks,RefBks,ItalCook} => {CookBks}",0.0225,1,0.0225,2.320185615,45
32,"{CookBks,DoItYBks,RefBks,ItalCook} => {ChildBks}",0.0225,0.9,0.025,2.127659574,45
33,"{ChildBks,CookBks,RefBks,ItalCook} => {DoItYBks}",0.0225,0.542168675,0.0415,1.922583953,45
34,"{ChildBks,RefBks,GeogBks,ItalCook} => {CookBks}",0.027,1,0.027,2.320185615,54
35,"{CookBks,RefBks,GeogBks,ItalCook} => {ChildBks}",0.027,0.931034483,0.029,2.201027146,54
36,"{ChildBks,CookBks,RefBks,ItalCook} => {GeogBks}",0.027,0.65060241,0.0415,2.357255107,54
37,"{ChildBks,CookBks,GeogBks,ItalCook} => {RefBks}",0.027,0.514285714,0.0525,2.397602398,54
38,"{YouthBks,ArtBks,GeogBks,ItalCook} => {CookBks}",0.02,1,0.02,2.320185615,40
39,"{YouthBks,CookBks,ArtBks,ItalCook} => {GeogBks}",0.02,0.655737705,0.0305,2.37586125,40
40,"{YouthBks,CookBks,GeogBks,ItalCook} => {ArtBks}",0.02,0.579710145,0.0345,2.405436286,40
41,"{CookBks,ArtBks,GeogBks,ItalCook} => {YouthBks}",0.02,0.555555556,0.036,2.244668911,40
42,"{ChildBks,YouthBks,ArtBks,ItalCook} => {CookBks}",0.0255,1,0.0255,2.320185615,51
43,"{YouthBks,CookBks,ArtBks,ItalCook} => {ChildBks}",0.0255,0.836065574,0.0305,1.976514359,51
44,"{ChildBks,YouthBks,CookBks,ItalCook} => {ArtBks}",0.0255,0.554347826,0.046,2.300198448,51
45,"{ChildBks,CookBks,ArtBks,ItalCook} => {YouthBks}",0.0255,0.56043956,0.0455,2.264402264,51
46,"{ChildBks,YouthBks,DoItYBks,ItalCook} => {CookBks}",0.0245,1,0.0245,2.320185615,49
47,"{YouthBks,CookBks,DoItYBks,ItalCook} => {ChildBks}",0.0245,0.790322581,0.031,1.868374895,49
48,"{ChildBks,YouthBks,CookBks,ItalCook} => {DoItYBks}",0.0245,0.532608696,0.046,1.888683318,49
49,"{ChildBks,CookBks,DoItYBks,ItalCook} => {YouthBks}",0.0245,0.532608696,0.046,2.151954326,49
50,"{ChildBks,YouthBks,GeogBks,ItalCook} => {CookBks}",0.03,1,0.03,2.320185615,60
51,"{YouthBks,CookBks,GeogBks,ItalCook} => {ChildBks}",0.03,0.869565217,0.0345,2.055709734,60
52,"{ChildBks,YouthBks,CookBks,ItalCook} => {GeogBks}",0.03,0.652173913,0.046,2.36294896,60
53,"{ChildBks,CookBks,GeogBks,ItalCook} => {YouthBks}",0.03,0.571428571,0.0525,2.308802309,60
54,"{DoItYBks,ArtBks,GeogBks,ItalCook} => {CookBks}",0.0215,1,0.0215,2.320185615,43
55,"{CookBks,DoItYBks,ArtBks,ItalCook} => {GeogBks}",0.0215,0.589041096,0.0365,2.134206869,43
56,"{CookBks,ArtBks,GeogBks,ItalCook} => {DoItYBks}",0.0215,0.597222222,0.036,2.117809299,43
57,"{CookBks,DoItYBks,GeogBks,ItalCook} => {ArtBks}",0.0215,0.623188406,0.0345,2.585844007,43
